doy,tmin,tmax,rain,par,rh,lat,lon
1,25.821954,41.026300,0.000000,2392.799048,0.279398,-32.750000,148.750000
2,15.208582,37.733545,0.158637,1065.965561,0.654352,-32.750000,148.750000
3,18.617975,38.617242,0.000000,2441.635583,0.401308,-32.750000,148.750000
4,19.717920,39.020929,0.000737,2072.190924,0.560956,-32.750000,148.750000
5,17.913354,32.032343,0.010727,931.519302,0.697442,-32.750000,148.750000
6,16.686273,35.329401,0.012591,2271.430811,0.579099,-32.750000,148.750000
7,14.541986,33.329126,0.000000,2386.298853,0.502155,-32.750000,148.750000
8,20.228510,31.032556,0.081950,1738.222754,0.579272,-32.750000,148.750000
9,18.914117,35.115747,0.132019,2025.106342,0.630552,-32.750000,148.750000
10,22.720300,39.018915,0.472886,2266.568439,0.596074,-32.750000,148.750000
11,20.799829,35.403619,19.092464,1671.330011,0.771075,-32.750000,148.750000
12,21.060114,38.814447,28.788387,1782.572717,0.772018,-32.750000,148.750000
13,20.484399,28.704156,6.575106,1766.625171,0.837667,-32.750000,148.750000
14,21.064478,31.226862,5.985820,2107.756836,0.831165,-32.750000,148.750000
15,19.427667,31.872430,5.515777,2178.894135,0.818625,-32.750000,148.750000
16,23.047418,32.457941,1.977616,1699.442822,0.609410,-32.750000,148.750000
17,20.692407,34.886713,1.591679,1470.457916,0.685879,-32.750000,148.750000
18,18.002557,30.080255,4.606456,1361.379041,0.776237,-32.750000,148.750000
19,16.438531,27.711389,0.088556,1638.428387,0.733931,-32.750000,148.750000
20,18.570276,31.635828,0.000000,2174.551593,0.679605,-32.750000,148.750000
21,22.739191,39.929224,0.000000,2289.281781,0.515595,-32.750000,148.750000
22,22.046747,38.726923,0.000000,2288.452130,0.456736,-32.750000,148.750000
23,24.464532,39.407953,0.000000,2292.433893,0.431585,-32.750000,148.750000
24,19.585352,37.251031,5.133650,949.544696,0.716242,-32.750000,148.750000
25,21.050378,27.414819,0.905918,366.400781,0.735919,-32.750000,148.750000
26,21.937250,32.478906,0.000000,1534.365179,0.459938,-32.750000,148.750000
27,22.426660,36.465356,0.879186,2220.820844,0.489258,-32.750000,148.750000
28,20.192987,36.516565,0.907929,1814.692279,0.570087,-32.750000,148.750000
