,rf,wsf,dsf,grw,saw
g1,4.19274857379685,3.1542965176708497,4.7885910321886795,4.811895961065923,5.1121464539995864
psiv,-2.0464279043179,-2.455474092702795,-1.6685443605365267,-3.4064081133471102,-3.6886825039089834
sf,2.0,2.0,2.0,2.0,2.0
Vcmax,44.0776799783131,84.86245885247084,75.63614178282326,62.33626615165297,92.77880652495621
kpsat,0.8515950069348129,1.68698710290258,3.1428067543200804,3.21598377631974,3.9695088994625904
AL,0.474968794133333,0.7247890923125,0.833393185236929,0.5243603689722224,0.28312107890438604
SM,34.511333333333305,38.200375,60.1883251633987,38.08583333333333,35.3025
SLA,0.009267081,0.0221027605,0.009896411666666667,0.014515998333333334,0.009848757333333335
LM,51.2533333333333,33.93575,82.46717320261423,37.2536111111111,27.610254385964897
Cs,7408.266534,31622.00469,13072.607594916664,19657.0191113889,8699.750084555553
Cl,659.09437865,342.9048208125,349.193237685,405.1356817,509.0584041972223
gmin,0.47813465479999995,1.2752789396875,1.4416558591666675,1.319196703633332,1.6448735647166668
Kplant,2.2785401522999997,1.6108014975,2.3798230201666666,2.2184938716666665,2.88442392625
p50,-4.329453,-3.0023835,-3.504141,-4.510872333333333,-7.093754666666666
s50,74.283377,35.2694795,30.468838666666667,26.690160666666667,17.798162
Jmax,73.60972556378287,141.7203062836263,126.31235677731483,104.10156447326045,154.94060689667685
